index,name,synopsis,genre,netflix,tiving
22,헌터 킬러,"대통령을 구하라! 세계 최강의 공격형 잠수함, '헌터 킬러'가 잠항에 나섰다. 쿠데타 세력에게 납치된 러시아 대통령을 구출하는 일촉즉발 합동 작전. 숨소리도 내서는 안 된다. 실패하면 제3차 세계 대전이 일어날지도 모르니.","밀리터리 영화, 미국 영화, 도서 원작 영화",1,0
23,아덴만의 새벽,"파스칼, 말레이시아의 최정예 특수 부대 앞에 거대한 임무가 주어진다. 해적으로 변신한 옛 전우의 대담한 납치극, 막을 수 있을까? 실제 작전을 토대로 한 액션 드라마.","말레이시아 작품, 밀리터리 영화, 액션 & 어드벤처",1,0
24,시카리오: 데이 오브 솔다도,"멕시코 마약 카르텔이 수송한 테러리스트들이 테러를 시작한다. 미국이 전면전에 돌입하고, CIA 작전 책임자가 카르텔에 가족을 잃은 남자와 연합해 비밀 작전을 개시한다. 적진 한가운데서 벌이는 카르텔과의 전쟁. 룰도 정의도 사치다.","미국 영화, 액션 & 어드벤처",1,0
25,시카리오: 암살자의 도시,우연히 멕시코 마약 조직 소탕 작전에 참여하게 된 원칙주의 FBI 요원 메이서. 합동작전팀의 리더와 의문의 '사냥개'는 누구인가? 함정수사가 선을 넘자 갈등이 증폭된다.,"미국 영화, 액션 & 어드벤처",1,0
26,콜,"같은 공간에 있으나, 다른 시간대에 살고 있다. 1999년의 영숙에게서 전화를 받는 2019년의 서연. 과거를 되돌린 그녀는 잔인한 대가를 치른다. 연쇄 살인마가 깨어났다.",스릴러 영화,1,0
27,라이언 일병 구하기,"상륙 작전에서 살아남은 후, 특수한 임무에 투입되는 존 밀러 대위와 대원들. 이 전쟁으로 형제 셋을 잃은 공수부대원을 구출하기 위해 적진에 침투해야 한다.","밀리터리 영화, 미국 영화, 액션 & 어드벤처",1,0
28,도망자,은행털이로 훔친 돈을 은닉한 채 감옥에 간 남자. 그런데 누군가 약탈품에 손을 대고 그의 가족마저 위협한다. 둘 다를 지키기 위해선 탈옥밖에 길이 없다.,"프랑스 작품, 액션 & 어드벤처",1,0
29,바스터즈: 거친 녀석들,"나치 치하 파리에서 극장 소유주 유대인은 나치 시사회를 열라는 강요를 받게 되고, 이곳에서 ‘개떼들’이라 불리는 미군 병사들은 한판 대결을 계획한다.","영화·스파이, 밀리터리 영화, 미국 영화",1,0
30,위쳐: 동물 사전 시즌 2,"피에 굶주린 브룩사, 숲에 서식하는 레쉬, 하늘을 나는 와이번, 그리고 와일드 헌트까지. 《위쳐》 시즌 2에 등장하는 괴물들의 기원을 탐구해 보자.","다큐멘터리 영화, 미국 영화",1,0
31,스나이퍼: 고스트 슈터,천연가스 송유관을 사수하라. 테러리스트에 맞서 아찔한 임무를 맡게 된 저격수들. 작전 시작과 함께 적군의 표적이 돼 버렸다. 이곳은 아무도 믿을 수 없는 곳. 절대 위치를 들키지 마라.,"밀리터리 영화, 미국 영화, 액션 & 어드벤처",1,0
32,스나이퍼: 레거시,아프가니스탄 작전과 관련된 군 장교들이 하나씩 저격당해 사살된다. 이 작전에 투입된 후 변절한 저격병의 소행인 것. 엘리트 저격수 브랜든이 범인을 제거하러 나서면서 둘의 대결이 시작된다.,"밀리터리 영화, 미국 영화, 액션 & 어드벤처",1,0
33,컴퍼니 오브 히어로즈,"제2차 세계대전 중 독일군의 마지막 총공격이 진행되고, 연합군 병사들은 온갖 악조건에도 불구하고 전세를 뒤집기 위한 행동에 들어간다.","밀리터리 영화, 미국 영화, 액션 & 어드벤처",1,0
34,핵소 고지,"제2차 세계대전 중, 양심적 병역 거부자인 데스몬드 도스는 총기 없이 의무병으로 오키나와 전쟁에 참전한다. 그리고 그곳에서 뜻밖의 영웅이 되어 기적을 탄생시킨다.","밀리터리 영화, 실화 바탕 영화, 미국 영화",1,0
35,인크레더블 헐크,실험 도중 감마선에 노출된 배너 박사. 분노하면 괴력의 녹색 괴물로 변하는 후유증에 시달리는데. 게다가 더 센 악당까지 등장했으니. 싸워나가야 할 것이 한둘이 아니다!,"SF 영화, 미국 영화, 액션 & 어드벤처",1,0
